ID,User-ID,Book-ID,Book-Rating,Age,Location,Book-Title,Book-Author,Year-Of-Publication,Publisher
TRAIN_000000,USER_00000,BOOK_044368,8,23,"sackville, new brunswick, canada",Road Taken,Rona Jaffe,2001,Mira
TRAIN_000001,USER_00000,BOOK_081205,8,23,"sackville, new brunswick, canada",Macbeth (New Penguin Shakespeare),William Shakespeare,1981,Penguin Books
TRAIN_000002,USER_00000,BOOK_086781,0,23,"sackville, new brunswick, canada",Waverley (Penguin English Library),Walter Scott,1981,Penguin Books
TRAIN_000003,USER_00000,BOOK_098622,0,23,"sackville, new brunswick, canada",Mother Earth Father Sky,Sue Harrison,1991,Avon
TRAIN_000004,USER_00000,BOOK_180810,8,23,"sackville, new brunswick, canada",She Who Remembers,Linda Lay Shuler,1989,Signet Book
TRAIN_000005,USER_00000,BOOK_206799,5,23,"sackville, new brunswick, canada",Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
TRAIN_000006,USER_00000,BOOK_239414,9,23,"sackville, new brunswick, canada",The Little Prince,Antoine de Saint-ExupÃ©ry,1982,Harvest Books
TRAIN_000007,USER_00000,BOOK_269070,0,23,"sackville, new brunswick, canada",Forests of the Heart (Newford),Charles de Lint,2001,Tor Books
TRAIN_000008,USER_00001,BOOK_190739,7,35,"wake forest, north carolina, usa",Self Matters : Creating Your Life from the Inside Out,Phillip C. McGraw,2001,Free Press
TRAIN_000009,USER_00001,BOOK_210079,0,35,"wake forest, north carolina, usa",The Self Matters Companion : Helping You Create Your Life from the Inside Out,Phillip C. McGraw,2002,Free Press
TRAIN_000010,USER_00001,BOOK_264949,5,35,"wake forest, north carolina, usa",Don't Let Jerks Get the Best of You / Advice For Dealing With Difficult People,"Paul, Dr. Meier",1993,Thomas Nelson Inc
TRAIN_000011,USER_00002,BOOK_045418,0,35,"minneapolis, minnesota, usa",Jewel (Oprah's Book Club),Bret Lott,1999,Pocket
TRAIN_000012,USER_00003,BOOK_006281,9,24,"magdeburg, sachsen-anhalt, germany",Wir sind Erinnerung. GedÃ?Â¤chtnis und PersÃ?Â¶nlichkeit.,Daniel L. Schacter,2001,Rowohlt Tb.
TRAIN_000013,USER_00003,BOOK_017583,7,24,"magdeburg, sachsen-anhalt, germany",2061. Odyssee III. Roman.,Arthur C. Clarke,2000,Heyne
TRAIN_000014,USER_00003,BOOK_047847,7,24,"magdeburg, sachsen-anhalt, germany",Die Jury. Roman.,John Grisham,1992,Heyne
TRAIN_000015,USER_00003,BOOK_058657,8,24,"magdeburg, sachsen-anhalt, germany",Frisch gepreÃ?Â?t.,Susanne FrÃ?Â¶hlich,2000,Ullstein Buchverlage GmbH &amp; Co. KG / Ullstein Tas
TRAIN_000016,USER_00003,BOOK_097106,6,24,"magdeburg, sachsen-anhalt, germany",Hitlers Helfer.,Guido Knopp,1998,Goldmann
TRAIN_000017,USER_00003,BOOK_127851,0,24,"magdeburg, sachsen-anhalt, germany",Saturns Schatten. Die dunklen Welten der Depression.,Andrew Solomon,2001,"Fischer (S.), Frankfurt"
TRAIN_000018,USER_00003,BOOK_136742,0,24,"magdeburg, sachsen-anhalt, germany",Die Tielmark- Chroniken 01. Die gÃ?Â¶ttlichen Schwestern.,Katya Reimann,2001,Goldmann
TRAIN_000019,USER_00003,BOOK_147629,8,24,"magdeburg, sachsen-anhalt, germany",Todesangst.,Robin Cook,1999,"Pabel/Moewig, Rastatt"
TRAIN_000020,USER_00003,BOOK_170925,10,24,"magdeburg, sachsen-anhalt, germany",Sofies Welt,Jostein Gaarder,1999,Deutscher Taschenbuch Verlag
TRAIN_000021,USER_00003,BOOK_179881,8,24,"magdeburg, sachsen-anhalt, germany",Das Urteil.,John Grisham,1998,Heyne
TRAIN_000022,USER_00003,BOOK_186972,0,24,"magdeburg, sachsen-anhalt, germany",The Partner,John Grisham,1998,Dell Publishing Company
TRAIN_000023,USER_00003,BOOK_190041,0,24,"magdeburg, sachsen-anhalt, germany",The Brethren,JOHN GRISHAM,2000,Doubleday
TRAIN_000024,USER_00003,BOOK_210867,0,24,"magdeburg, sachsen-anhalt, germany",Die Kammer.,John Grisham,1996,Heyne
TRAIN_000025,USER_00003,BOOK_212751,9,24,"magdeburg, sachsen-anhalt, germany",2001. Odyssee im Weltraum.,Arthur C. Clarke,2001,Heyne
TRAIN_000026,USER_00003,BOOK_214977,0,24,"magdeburg, sachsen-anhalt, germany",The Street Lawyer,JOHN GRISHAM,1999,Dell
TRAIN_000027,USER_00003,BOOK_223376,8,24,"magdeburg, sachsen-anhalt, germany",Der Partner.,John Grisham,1999,Heyne
TRAIN_000028,USER_00003,BOOK_223786,9,24,"magdeburg, sachsen-anhalt, germany",Das Testament,John Grisham,2001,Wilhelm Heyne Verlag
TRAIN_000029,USER_00003,BOOK_229031,10,24,"magdeburg, sachsen-anhalt, germany",Ensel und Krete. Ein MÃ?Â¤rchen aus Zamonien von Hildegunst von Mythenmetz.,Walter Moers,2000,Eichborn
TRAIN_000030,USER_00003,BOOK_238221,10,24,"magdeburg, sachsen-anhalt, germany","Die 13 1/2 Leben des KÃ¤pt'n BlaubÃ¤r: Die halben Lebenserinnerungen eines SeebÃ¤ren : mit zahlreichen Illustrationen und unter Benutzung des ""Lexikons der erklÃ¤rungsbedÃ¼rftigen Wunder, Daseinsformen und PhÃ¤nomene Zamoniens und Umgebung"" von Prof. Dr.",Walter Moers,1999,Eichborn
TRAIN_000031,USER_00003,BOOK_250658,9,24,"magdeburg, sachsen-anhalt, germany",Die Firma. Roman.,John Grisham,1993,Heyne
TRAIN_000032,USER_00003,BOOK_257724,7,24,"magdeburg, sachsen-anhalt, germany",Der Regenmacher.,John Grisham,1997,Heyne
TRAIN_000033,USER_00003,BOOK_269851,6,24,"magdeburg, sachsen-anhalt, germany",Dreitausendeins ( 3001). Die letzte Odyssee.,Arthur C. Clarke,1999,Heyne
TRAIN_000034,USER_00004,BOOK_033489,8,35,"new york, new york, usa",Music &amp; Silence,Rose Tremain,2000,Farrar Straus Giroux
TRAIN_000035,USER_00004,BOOK_053907,9,35,"new york, new york, usa",Atonement: A Novel,Ian McEwan,2002,Nan A. Talese
TRAIN_000036,USER_00004,BOOK_088342,7,35,"new york, new york, usa",The Black Madonna : A Novel,Louisa Ermelino,2001,Simon &amp; Schuster
TRAIN_000037,USER_00004,BOOK_093673,8,35,"new york, new york, usa",The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books
TRAIN_000038,USER_00004,BOOK_146324,0,35,"new york, new york, usa",Tommy's Tale: A Novel,Alan Cumming,2002,Regan Books
TRAIN_000039,USER_00004,BOOK_187286,7,35,"new york, new york, usa",The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco
TRAIN_000040,USER_00004,BOOK_204356,8,35,"new york, new york, usa",Look at Me,JENNIFER EGAN,2001,Nan A. Talese
TRAIN_000041,USER_00004,BOOK_235466,5,35,"new york, new york, usa",Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2001,Ecco
TRAIN_000042,USER_00005,BOOK_182910,0,35,"bend, oregon, usa",The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
TRAIN_000043,USER_00005,BOOK_185485,7,35,"bend, oregon, usa",Pink Slip,RITA CIRESI,1999,Delta
TRAIN_000044,USER_00006,BOOK_051928,0,39,"sevilla, sevilla, spain",Veinticuatro Horas En La Vida de Una Mujer,Stefan Zweig,2001,El Acantilado
TRAIN_000045,USER_00007,BOOK_179401,0,24,"new york, new york, usa",Jacqueline Susann's Shadow of the Dolls: A Novel,Rae Lawrence,2002,Kensington Publishing Corporation
TRAIN_000046,USER_00008,BOOK_013473,7,37,"vermilion, ohio, usa",Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
TRAIN_000047,USER_00008,BOOK_031921,9,37,"vermilion, ohio, usa",Certain Smile,Judith Michael,1999,Random House Inc
TRAIN_000048,USER_00008,BOOK_067104,0,37,"vermilion, ohio, usa",McNally's Dilemma,Lawrence Sanders,1999,G. P. Putnam's Sons
TRAIN_000049,USER_00008,BOOK_104434,8,37,"vermilion, ohio, usa",Double Impact,Tess Gerritsen,2003,Harlequin
TRAIN_000050,USER_00008,BOOK_109072,8,37,"vermilion, ohio, usa",The Blessing,Jude Deveraux,1998,Atria
TRAIN_000051,USER_00008,BOOK_130846,8,37,"vermilion, ohio, usa",The Visitation,Frank Peretti,1999,Word Publishing
TRAIN_000052,USER_00008,BOOK_136516,8,37,"vermilion, ohio, usa",River's End,Nora Roberts,1999,Putnam Publishing Group
TRAIN_000053,USER_00008,BOOK_140589,9,37,"vermilion, ohio, usa",Kentucky Sunrise,Fern Michaels,2003,Zebra Books (Mass Market)
TRAIN_000054,USER_00008,BOOK_164536,10,37,"vermilion, ohio, usa",Tell No One,Harlan Coben,2002,Dell Publishing Company
TRAIN_000055,USER_00008,BOOK_172340,8,37,"vermilion, ohio, usa",2nd Chance,James Patterson,2003,Warner Vision
TRAIN_000056,USER_00008,BOOK_203922,0,37,"vermilion, ohio, usa",Stone Kiss,Faye Kellerman,2003,Warner Books
TRAIN_000057,USER_00008,BOOK_208807,8,37,"vermilion, ohio, usa",The Green Mile,Stephen King,1999,Pocket
TRAIN_000058,USER_00008,BOOK_211579,10,37,"vermilion, ohio, usa",One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books
TRAIN_000059,USER_00008,BOOK_218046,8,37,"vermilion, ohio, usa",Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
TRAIN_000060,USER_00008,BOOK_248248,8,37,"vermilion, ohio, usa",On the Street Where You Live,Mary Higgins Clark,2002,Pocket
TRAIN_000061,USER_00009,BOOK_122113,5,35,"sidney, illinois, usa",Birdman,Mo Hayder,2000,Dell Publishing Company
TRAIN_000062,USER_00010,BOOK_127544,0,47,"adelaide, south australia, australia",Iron Mustang,Jake Logan,1982,Berkley Pub Group (Mm)
TRAIN_000063,USER_00011,BOOK_222159,6,48,"zaragoza, n/a, spain",El Baile De LA Victoria (Autores Espanoles E Iberoamericanos),Antonio Skarmeta,2003,Planeta Pub Corp
TRAIN_000064,USER_00012,BOOK_016760,6,35,"kassel, hessen, germany",Liebesleben,Zeruya Shalev,2002,Distribooks
TRAIN_000065,USER_00012,BOOK_034147,5,35,"kassel, hessen, germany",Herzflimmern. Roman.,Barbara Wood,1990,"Fischer (Tb.), Frankfurt"
TRAIN_000066,USER_00012,BOOK_098088,0,35,"kassel, hessen, germany",Die Ich- Gesellschaft. Vom Umgang mit Egozentrikern.,Uta Hess,2000,Dtv
TRAIN_000067,USER_00013,BOOK_196961,8,35,"winnipeg, manitoba, canada",Rhinemann Exchange,Robert Ludlum,1975,Bantam Doubleday Dell
