Book-ID,Book-Title,Book-Author,Year-Of-Publication,N_ratings,avg_rating
BOOK_097861,Wild Animus,Rich Shapero,2004,2502,1.019584333
BOOK_050555,The Da Vinci Code,Dan Brown,2003,883,4.652321631
BOOK_114855,The Lovely Bones: A Novel,Alice Sebold,2002,768,4.37890625
BOOK_206174,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,732,3.448087432
BOOK_084346,The Red Tent (Bestselling Backlist),Anita Diamant,1998,723,4.334716459
BOOK_176344,A Painted House,John Grisham,2001,647,3.187017002
BOOK_163526,The Secret Life of Bees,Sue Monk Kidd,2003,615,4.219512195
BOOK_077238,Angels &amp; Demons,Dan Brown,2001,586,3.718430034
BOOK_261787,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,585,4.105982906
BOOK_152477,House of Sand and Fog,Andre Dubus III,2000,552,3.039855072
